Occupation,AI Talent% Relative to Total Headcount,AI-Required Position Retention Rate,AI-Required Position Hire Rate,Average Salary for Positions Without AI Requirements,Average Salary for Positions With AI Requirements,AI_Salary_Premium ,Number of Job Posts Without AI Requirement,Number of Job Posts With AI Requirement
controller,2.82%,98.55%,1.08%," 125,338 "," 147,702 ",17.84%, 823 , 34 
controls,5.07%,95.83%,2.78%," 125,407 "," 131,577 ",4.92%, 595 , 28 
coo,2.20%,97.47%,0.83%," 177,564 "," 194,966 ",9.80%, 551 , 39 
cook,0.24%,94.66%,6.45%," 37,172 "," 36,349 ",-2.21%," 2,757 ", 83 
coordinator,0.93%,94.50%,1.73%," 53,097 "," 53,536 ",0.83%," 1,143 ", 29 
copywriter,6.61%,93.73%,3.47%," 81,502 "," 98,622 ",21.01%," 2,703 ", 237 
cost,4.63%,95.98%,1.32%," 102,376 "," 116,250 ",13.55%, 86 , 2 
cost accountant,4.32%,93.52%,1.78%," 82,646 "," 87,477 ",5.84%, 839 , 27 
cost accounting,3.67%,97.62%,2.38%," 106,735 "," 121,005 ",13.37%, 404 , 17 
cost analyst,7.84%,94.71%,2.60%," 92,871 "," 96,526 ",3.94%, 909 , 35 
cost controller,1.58%,100.00%,0.00%," 73,338 "," 145,600 ",98.53%, 118 , 1 
cost engineer,3.84%,93.26%,3.93%," 104,155 "," 108,718 ",4.38%," 1,206 ", 41 
counsel,3.94%,95.33%,2.35%," 167,242 "," 180,708 ",8.05%," 8,331 ", 737 
counselor,2.15%,95.25%,5.34%," 67,549 "," 110,767 ",63.98%, 718 , 10 
counter,1.12%,87.51%,5.70%," 37,423 "," 65,801 ",75.83%, 269 , 6 
courtesy,0.59%,90.76%,6.59%," 37,508 "," 37,470 ",-0.10%," 5,253 ", 59 
cra,1.18%,100.00%,0.00%," 101,407 "," 110,359 ",8.83%, 852 , 31 
creative,5.28%,91.65%,4.13%," 126,618 "," 152,904 ",20.76%," 2,074 ", 268 
creative services,3.27%,91.76%,2.42%," 109,712 "," 145,242 ",32.38%," 3,214 ", 235 
credit,1.23%,94.47%,1.15%," 80,034 "," 73,060 ",-8.71%, 304 , 28 
credit analyst,4.08%,95.16%,3.08%," 83,841 "," 91,273 ",8.86%," 1,295 ", 46 
credit collections,3.90%,94.45%,1.43%," 75,099 "," 111,796 ",48.87%," 2,133 ", 41 
credit controller,1.25%,100.00%,0.00%," 53,835 "," 77,683 ",44.30%, 385 , 10 
credit officer,1.07%,96.28%,1.22%," 102,914 "," 134,416 ",30.61%, 379 , 8 
credit risk,9.90%,96.79%,0.84%," 130,960 "," 137,247 ",4.80%, 909 , 44 
credit risk analyst,15.30%,95.08%,3.00%," 99,959 "," 117,195 ",17.24%, 655 , 39 
crew,0.85%,93.10%,7.52%," 39,443 "," 29,884 ",-24.23%," 3,296 ", 75 
crm,10.27%,94.88%,2.00%," 109,020 "," 120,055 ",10.12%, 481 , 38 
csa,0.29%,89.44%,0.00%," 48,816 "," 65,488 ",34.15%, 215 , 1 
csr,0.15%,100.00%,0.00%," 34,410 "," 33,505 ",-2.63%, 96 , 4 
customer,1.58%,98.75%,3.75%," 71,339 "," 113,618 ",59.26%, 898 , 42 
customer account,1.41%,97.30%,0.00%," 54,396 "," 56,687 ",4.21%, 661 , 30 
customer advocate,3.17%,91.40%,2.33%," 60,078 "," 81,135 ",35.05%," 5,275 ", 155 
customer care,0.83%,95.55%,0.00%," 52,015 "," 56,975 ",9.54%, 639 , 15 
customer care representative,0.61%,100.00%,0.00%," 43,533 "," 48,960 ",12.47%," 4,038 ", 38 
customer consultant,1.78%,100.00%,0.00%," 53,588 "," 64,104 ",19.62%, 241 , 18 
customer development,4.54%,94.42%,2.04%," 90,322 "," 104,760 ",15.99%, 616 , 6 
customer engagement,6.63%,95.09%,0.00%," 86,597 "," 122,148 ",41.05%, 911 , 90 
customer engineer,2.59%,96.96%,1.00%," 101,604 "," 135,230 ",33.10%, 545 , 14 
customer marketing,9.24%,91.85%,1.96%," 118,800 "," 143,231 ",20.56%," 3,213 ", 244 
customer operations,4.14%,96.69%,0.00%," 91,449 "," 133,319 ",45.78%," 2,158 ", 95 
customer project,2.35%,95.24%,2.38%," 115,832 "," 128,050 ",10.55%," 2,666 ", 127 
customer relations,1.54%,90.45%,0.00%," 51,886 "," 32,470 ",-37.42%, 97 , 1 
customer relationship,1.55%,90.45%,0.00%," 70,966 "," 98,302 ",38.52%, 136 , 4 
customer representative,0.80%,100.00%,0.00%," 45,240 "," 69,575 ",53.79%, 43 , 2 
customer sales,0.28%,100.00%,0.00%," 51,030 "," 54,568 ",6.93%, 197 , 4 
customer service,0.59%,96.11%,2.32%," 46,399 "," 57,384 ",23.67%," 1,577 ", 39 
customer service agent,0.93%,94.91%,1.70%," 42,506 "," 41,245 ",-2.97%," 1,938 ", 16 
customer service analyst,5.36%,95.17%,0.94%," 62,520 "," 71,574 ",14.48%," 1,669 ", 37 
customer service cashier,0.26%,96.98%,2.02%," 33,323 "," 29,060 ",-12.79%," 1,502 ", 62 
customer service consultant,0.78%,97.22%,0.00%," 43,486 "," 46,612 ",7.19%, 853 , 11 
customer service coordinator,2.04%,96.41%,1.07%," 56,405 "," 65,396 ",15.94%," 3,039 ", 25 
customer service engineer,2.33%,95.00%,3.00%," 89,538 "," 66,272 ",-25.98%, 425 , 5 
customer service officer,0.56%,100.00%,10.00%," 48,364 "," 66,703 ",37.92%, 308 , 3 
customer service representative,0.41%,94.52%,1.82%," 39,093 "," 35,566 ",-9.02%," 5,700 ", 49 
customer service sales,0.45%,94.30%,3.05%," 37,766 "," 51,168 ",35.49%, 399 , 1 
customer services,1.04%,95.00%,0.00%," 59,411 "," 119,299 ",100.80%, 357 , 8 
customer services agent,0.25%,100.00%,25.00%," 40,748 "," 65,396 ",60.49%, 372 , 5 
customer solutions,2.47%,100.00%,2.27%," 91,583 "," 134,076 ",46.40%, 472 , 18 
customer success,7.99%,92.79%,2.54%," 104,073 "," 126,826 ",21.86%," 5,276 ", 996 
customer support,1.11%,95.29%,2.35%," 52,634 "," 55,392 ",5.24%, 210 , 9 
customer support engineer,2.64%,97.50%,0.00%," 94,961 "," 125,730 ",32.40%, 315 , 12 
customer support representative,3.53%,92.50%,0.91%," 51,422 "," 50,186 ",-2.40%, 950 , 25 
cyber security,9.44%,94.74%,3.51%," 120,437 "," 138,602 ",15.08%," 2,095 ", 387 
cyber security analyst,7.99%,94.94%,3.20%," 108,841 "," 120,307 ",10.53%," 2,450 ", 415 
data,5.07%,93.72%,2.57%," 81,428 "," 105,634 ",29.73%, 859 , 53 
data analyst,24.82%,95.57%,2.89%," 100,250 "," 114,020 ",13.74%," 2,881 ", 311 
data architect,39.89%,96.56%,1.96%," 141,994 "," 165,273 ",16.39%," 5,004 "," 1,547 "
data center,4.06%,97.06%,1.79%," 99,024 "," 100,676 ",1.67%, 270 , 13 
database,8.87%,92.24%,0.75%," 85,147 "," 75,920 ",-10.84%, 51 , 1 
database administrator,10.10%,98.00%,0.45%," 120,580 "," 115,045 ",-4.59%, 732 , 55 
database analyst,23.28%,96.60%,2.25%," 102,126 "," 112,507 ",10.17%, 510 , 43 
database developer,17.31%,97.86%,1.99%," 113,217 "," 107,073 ",-5.43%, 369 , 49 
database engineer,33.64%,97.20%,1.55%," 136,627 "," 154,511 ",13.09%," 2,277 ", 395 
dba,3.65%,98.65%,1.35%," 106,885 "," 139,838 ",30.83%, 122 , 8 
dealer,0.80%,100.00%,0.00%," 46,796 "," 36,536 ",-21.93%, 91 , 1 
deli,0.17%,97.37%,0.00%," 37,774 "," 39,032 ",3.33%," 1,668 ", 24 
delivery,2.63%,96.40%,0.72%," 86,306 "," 145,643 ",68.75%, 788 , 34 
delivery driver,0.30%,94.52%,4.82%," 37,012 "," 41,206 ",11.33%," 3,781 ", 51 
delivery project,10.21%,98.72%,0.26%," 147,185 "," 162,853 ",10.64%," 1,598 ", 171 
demand planning,14.21%,95.40%,1.54%," 99,183 "," 125,235 ",26.27%," 1,534 ", 58 
deployment,4.69%,95.00%,1.22%," 111,712 "," 96,442 ",-13.67%, 114 , 5 
design,2.36%,94.26%,1.92%," 134,398 "," 184,836 ",37.53%, 579 , 28 
design consultant,1.56%,90.13%,3.31%," 98,618 "," 165,608 ",67.93%, 539 , 9 
design engineer,2.44%,96.22%,1.35%," 118,898 "," 159,615 ",34.25%, 692 , 48 
design engineering,3.98%,95.93%,1.80%," 119,363 "," 154,939 ",29.80%," 2,349 ", 172 
designer,1.72%,95.53%,1.32%," 88,396 "," 106,034 ",19.95%, 796 , 55 
desktop engineer,4.06%,95.45%,0.00%," 85,548 "," 92,626 ",8.27%, 366 , 28 
desktop support,3.04%,96.18%,0.63%," 68,803 "," 71,889 ",4.49%, 540 , 33 
desktop support analyst,3.69%,96.43%,0.00%," 72,143 "," 69,259 ",-4.00%," 1,335 ", 60 
desktop support engineer,6.39%,95.00%,0.00%," 66,362 "," 65,143 ",-1.84%, 279 , 19 
desktop support technician,6.33%,93.67%,1.83%," 66,145 "," 78,649 ",18.90%," 3,429 ", 126 
developer,6.70%,95.77%,2.63%," 129,884 "," 130,186 ",0.23%, 312 , 41 
development,4.56%,95.49%,1.44%," 145,640 "," 158,491 ",8.82%," 1,306 ", 97 
development consultant,5.76%,95.31%,2.94%," 125,362 "," 153,091 ",22.12%," 1,034 ", 108 
development coordinator,3.44%,94.30%,0.00%," 83,309 "," 93,265 ",11.95%, 288 , 20 
development engineer,11.62%,96.08%,2.36%," 125,121 "," 164,721 ",31.65%, 415 , 45 
devops,18.91%,100.00%,0.00%," 126,649 "," 153,780 ",21.42%, 391 , 61 
devops engineer,42.00%,98.57%,0.51%," 130,888 "," 140,142 ",7.07%," 4,726 "," 1,065 "
digital,20.90%,94.48%,2.90%," 128,027 "," 139,893 ",9.27%," 4,652 "," 1,189 "
digital account,6.55%,95.74%,0.69%," 91,065 "," 106,249 ",16.67%," 5,300 ", 476 
digital designer,9.16%,94.87%,1.41%," 110,642 "," 125,875 ",13.77%," 2,476 ", 252 
digital marketing,17.12%,93.71%,2.52%," 87,396 "," 99,482 ",13.83%," 2,115 ", 275 
digital media,11.29%,91.90%,4.36%," 95,111 "," 105,149 ",10.55%," 1,264 ", 142 
digital product,15.17%,95.31%,0.83%," 133,934 "," 154,421 ",15.30%," 5,121 "," 1,185 "
digital project,9.85%,93.31%,2.37%," 106,640 "," 124,528 ",16.77%," 2,134 ", 163 
digital sales,8.72%,92.23%,4.20%," 90,834 "," 115,527 ",27.18%," 2,985 ", 181 
directional driller,2.10%,92.40%,3.35%," 71,968 "," 96,922 ",34.67%," 6,341 ", 183 
directors,1.51%,94.68%,3.08%," 160,221 "," 155,490 ",-2.95%, 423 , 17 
dishwasher,1.35%,89.24%,9.42%," 32,620 "," 30,227 ",-7.34%," 2,887 ", 57 
dispatch,0.71%,95.78%,1.91%," 47,647 "," 49,566 ",4.03%," 1,219 ", 15 
dispatcher,0.91%,96.32%,2.94%," 46,307 "," 41,423 ",-10.55%," 1,628 ", 40 
distribution,2.17%,96.22%,2.62%," 85,439 "," 106,734 ",24.93%, 893 , 8 
distribution center,2.43%,93.13%,2.44%," 68,730 "," 79,550 ",15.74%," 5,096 ", 48 
distributor,0.82%,97.69%,2.31%," 69,881 "," 123,435 ",76.64%, 754 , 27 
doctor,1.51%,92.74%,4.88%," 108,389 "," 105,048 ",-3.08%," 1,027 ", 31 
document,2.08%,96.08%,0.00%," 56,491 "," 57,415 ",1.63%, 486 , 18 
document control,1.67%,96.37%,1.19%," 64,984 "," 73,363 ",12.89%," 1,710 ", 36 
document controller,1.13%,100.00%,6.46%," 64,470 "," 53,114 ",-17.61%, 574 , 21 
documentation,0.35%,100.00%,0.00%," 67,076 "," 103,667 ",54.55%, 101 , 3 
driller,0.38%,97.40%,2.56%," 53,871 "," 59,332 ",10.14%," 4,480 ", 49 
drilling,0.77%,82.46%,1.61%," 79,363 "," 80,973 ",2.03%, 707 , 3 
drilling engineer,3.83%,94.28%,1.97%," 101,571 "," 140,012 ",37.85%, 735 , 25 
driver,0.24%,94.36%,3.76%," 46,155 "," 45,546 ",-1.32%, 837 , 15 
drug safety,1.85%,92.11%,2.63%," 73,365 "," 96,986 ",32.20%," 3,252 ", 169 
dy,1.51%,100.00%,0.00%," 88,801 "," 75,577 ",-14.89%, 373 , 7 
e commerce,3.92%,90.33%,1.32%," 63,431 "," 68,136 ",7.42%, 262 , 12 
ecommerce,4.79%,95.65%,0.00%," 83,775 "," 101,418 ",21.06%, 835 , 63 
economist,6.87%,94.36%,4.89%," 119,153 "," 123,600 ",3.73%, 212 , 12 
editor,3.57%,92.76%,4.57%," 75,552 "," 81,978 ",8.50%," 1,263 ", 114 
editorial,5.33%,91.37%,3.80%," 72,829 "," 87,635 ",20.33%, 289 , 30 
education,2.80%,90.50%,1.85%," 77,158 "," 122,373 ",58.60%, 578 , 15 
ehs,1.21%,95.71%,1.43%," 89,921 "," 88,453 ",-1.63%," 2,681 ", 30 
electrical,2.23%,97.16%,2.48%," 79,633 "," 83,333 ",4.65%," 1,732 ", 38 
electrical design engineer,3.40%,99.12%,0.00%," 115,951 "," 118,988 ",2.62%," 2,071 ", 81 
electrical designer,1.37%,100.00%,6.90%," 84,076 "," 116,662 ",38.76%, 754 , 18 
electrical engineer,5.11%,96.85%,1.66%," 110,143 "," 114,103 ",3.60%," 3,402 ", 166 
electrical engineering,6.86%,93.23%,4.82%," 92,866 "," 101,325 ",9.11%," 2,709 ", 127 
electrical technician,6.72%,97.71%,2.48%," 63,770 "," 72,436 ",13.59%," 1,344 ", 39 
electrician,2.87%,97.13%,3.72%," 59,733 "," 61,589 ",3.11%," 3,732 ", 87 
electronic engineer,10.84%,96.48%,5.26%," 102,968 "," 103,351 ",0.37%, 318 , 23 
electronic technician,7.91%,96.78%,3.49%," 63,611 "," 63,544 ",-0.11%," 2,138 ", 68 
electronics,3.47%,95.45%,10.91%," 52,740 "," 114,626 ",117.34%, 122 , 3 
electronics engineer,6.57%,94.85%,3.24%," 110,382 "," 107,963 ",-2.19%, 337 , 18 
electronics technician,4.49%,96.09%,3.91%," 65,240 "," 65,729 ",0.75%," 2,863 ", 100 
embedded software engineer,12.58%,95.30%,1.89%," 129,288 "," 149,576 ",15.69%," 4,937 "," 1,095 "
emergency medical technician,1.55%,92.83%,5.40%," 54,744 "," 49,120 ",-10.27%," 1,935 ", 45 
energy,2.37%,93.62%,3.32%," 102,358 "," 123,931 ",21.08%, 781 , 39 
engagement,6.28%,93.58%,1.33%," 114,743 "," 142,169 ",23.90%," 1,328 ", 117 
engineer,4.39%,95.71%,3.39%," 117,180 "," 144,482 ",23.30%," 2,712 ", 272 
engineer i,5.01%,93.91%,3.92%," 96,658 "," 129,351 ",33.82%," 3,193 ", 202 
engineering,3.83%,95.12%,2.41%," 118,653 "," 173,847 ",46.52%," 1,795 ", 134 
engineering project,4.07%,96.72%,0.94%," 140,627 "," 178,833 ",27.17%," 3,208 ", 183 
engineering technician,3.08%,95.62%,2.80%," 71,690 "," 83,771 ",16.85%," 2,442 ", 52 
environment health safety,1.26%,94.77%,0.00%," 114,556 "," 157,340 ",37.35%," 1,625 ", 19 
environmental,1.04%,93.72%,5.72%," 91,771 "," 98,380 ",7.20%," 3,218 ", 40 
environmental engineer,1.57%,95.13%,0.91%," 106,678 "," 102,025 ",-4.36%," 1,475 ", 17 
environmental health safety,1.63%,92.64%,0.00%," 73,650 "," 82,928 ",12.60%," 3,648 ", 40 
environmental scientist,2.45%,95.36%,1.66%," 82,866 "," 103,583 ",25.00%," 3,201 ", 71 
equipment,0.76%,94.53%,3.63%," 49,893 "," 61,394 ",23.05%, 492 , 2 
equipment engineer,5.93%,95.19%,1.93%," 90,961 "," 98,002 ",7.74%," 2,714 ", 117 
equity,1.83%,95.85%,3.20%," 118,043 "," 141,362 ",19.76%, 704 , 50 
equity analyst,2.37%,90.20%,6.63%," 59,297 "," 73,424 ",23.82%, 958 , 28 
equity research,3.89%,95.13%,5.60%," 99,570 "," 108,007 ",8.47%," 1,292 ", 85 
equity research analyst,8.04%,89.23%,5.39%," 100,998 "," 102,000 ",0.99%," 1,203 ", 61 
escalation,1.78%,88.19%,0.00%," 68,521 "," 104,669 ",52.75%, 738 , 31 
escrow officer,0.46%,95.67%,4.33%," 56,778 "," 70,380 ",23.96%," 3,156 ", 49 
etl developer,19.69%,98.62%,0.17%," 107,791 "," 115,098 ",6.78%," 1,815 ", 183 
event,1.33%,93.81%,1.25%," 49,384 "," 84,234 ",70.57%, 419 , 18 
event coordinator,1.40%,91.00%,3.21%," 49,418 "," 51,209 ",3.62%, 565 , 14 
events,1.80%,94.92%,2.68%," 73,377 "," 92,533 ",26.11%," 1,816 ", 71 
exploration geologist,0.97%,100.00%,0.00%," 78,167 "," 110,628 ",41.53%," 1,062 ", 36 
export,1.56%,89.44%,5.00%," 66,411 "," 49,962 ",-24.77%, 344 , 6 
f b,0.41%,100.00%,0.00%," 49,287 "," 41,354 ",-16.10%, 692 , 4 
facilities,1.07%,97.31%,0.45%," 84,507 "," 70,868 ",-16.14%," 1,638 ", 33 
facilities coordinator,1.32%,97.12%,1.92%," 60,147 "," 57,507 ",-4.39%," 1,611 ", 40 
facilities engineer,2.21%,96.53%,0.78%," 105,246 "," 105,107 ",-0.13%," 1,967 ", 29 
facility,0.37%,100.00%,0.00%," 73,049 "," 74,029 ",1.34%, 266 , 1 
factory worker,1.18%,91.77%,5.33%," 39,271 "," 42,494 ",8.21%," 1,582 ", 9 
family room,2.00%,94.32%,2.82%," 53,864 "," 91,911 ",70.64%, 486 , 11 
finance,3.55%,94.81%,2.30%," 101,037 "," 129,570 ",28.24%," 1,047 ", 43 
finance accounting,5.36%,95.63%,2.86%," 104,183 "," 151,698 ",45.61%, 339 , 19 
finance accounts,9.82%,100.00%,0.00%," 109,961 "," 129,380 ",17.66%, 347 , 24 
finance administration,2.12%,95.70%,4.30%," 114,665 "," 123,037 ",7.30%, 72 , 3 
finance analyst,8.62%,97.70%,0.58%," 88,140 "," 85,094 ",-3.46%," 1,112 ", 24 
finance business,6.97%,93.15%,0.00%," 121,469 "," 134,025 ",10.34%, 917 , 41 
finance controller,5.64%,95.06%,0.73%," 138,536 "," 153,920 ",11.10%," 1,898 ", 61 
finance officer,3.12%,94.83%,5.17%," 69,006 "," 61,254 ",-11.23%, 176 , 5 
finance operations,4.51%,98.68%,0.00%," 127,421 "," 152,985 ",20.06%, 89 , 11 
financial,1.21%,95.54%,3.57%," 102,042 "," 96,890 ",-5.05%, 343 , 11 
financial accountant,1.99%,100.00%,0.00%," 86,421 "," 92,396 ",6.91%, 500 , 23 
financial accounting,3.01%,95.59%,2.32%," 96,629 "," 130,012 ",34.55%, 387 , 22 
financial adviser,0.27%,96.43%,10.71%," 86,445 "," 115,493 ",33.60%, 994 , 31 
financial analysis,10.94%,93.82%,3.02%," 129,807 "," 158,971 ",22.47%," 1,366 ", 70 
financial analyst,7.90%,94.91%,1.66%," 92,338 "," 103,332 ",11.91%," 4,231 ", 126 
financial analyst fp a,20.17%,91.18%,4.10%," 101,208 "," 123,579 ",22.10%," 8,564 ", 465 
financial center,0.29%,100.00%,0.00%," 69,190 "," 99,811 ",44.26%," 1,168 ", 14 
financial consultant,2.37%,95.38%,3.19%," 125,008 "," 143,700 ",14.95%, 580 , 38 
financial controller,6.76%,96.50%,0.72%," 120,072 "," 131,255 ",9.31%, 631 , 35 
financial officer,3.56%,94.68%,2.33%," 181,434 "," 192,798 ",6.26%," 1,292 ", 68 
financial planner,0.23%,91.29%,0.00%," 101,149 "," 121,935 ",20.55%," 1,691 ", 82 
financial planning,6.71%,94.03%,1.83%," 125,367 "," 150,179 ",19.79%," 3,139 ", 105 
financial planning analysis,13.39%,94.50%,2.46%," 162,687 "," 183,234 ",12.63%," 2,984 ", 108 
financial planning analyst,14.78%,94.83%,2.82%," 98,504 "," 115,939 ",17.70%," 1,888 ", 65 
financial reporting,3.63%,94.51%,2.68%," 123,452 "," 140,227 ",13.59%," 4,158 ", 128 
financial reporting analyst,9.59%,95.54%,2.35%," 89,044 "," 94,201 ",5.79%," 2,303 ", 53 
financial representative,0.85%,91.86%,7.82%," 65,880 "," 87,160 ",32.30%, 917 , 23 
financial service,1.03%,93.26%,0.82%," 38,579 "," 94,089 ",143.88%, 89 , 2 
financial service representative,0.28%,93.61%,3.64%," 46,849 "," 52,923 ",12.96%," 1,541 ", 34 
financial services,1.29%,94.27%,3.86%," 94,139 "," 127,463 ",35.40%, 658 , 33 
financial services representative,0.72%,94.86%,5.94%," 53,360 "," 52,617 ",-1.39%, 802 , 12 
firmware engineer,12.43%,97.56%,2.03%," 129,549 "," 162,562 ",25.48%," 4,541 "," 1,108 "
fleet,1.22%,95.40%,2.50%," 62,393 "," 71,026 ",13.84%," 1,686 ", 27 
flight attendant,0.18%,91.29%,2.41%," 51,124 "," 63,208 ",23.64%," 1,158 ", 10 
floor,0.34%,96.40%,2.38%," 41,529 "," 37,440 ",-9.85%, 395 , 1 
food,1.80%,98.08%,5.77%," 49,391 "," 36,410 ",-26.28%, 409 , 24 
food beverage,0.98%,91.36%,6.31%," 58,444 "," 60,557 ",3.62%," 2,414 ", 75 
food server,0.30%,91.94%,5.01%," 32,824 "," 33,133 ",0.94%," 1,913 ", 28 
food service,0.65%,98.96%,0.00%," 47,039 "," 55,753 ",18.52%," 1,082 ", 38 
food service worker,0.77%,90.47%,8.95%," 33,286 "," 32,206 ",-3.25%," 3,529 ", 78 
foreman,0.40%,96.88%,4.46%," 63,766 "," 61,388 ",-3.73%," 1,474 ", 25 
forklift,0.95%,97.60%,2.03%," 40,026 "," 47,310 ",18.20%," 12,909 ", 131 
fp a,22.64%,96.90%,0.00%," 138,056 "," 157,986 ",14.44%," 4,639 ", 331 
fraud,3.04%,93.82%,0.91%," 82,678 "," 96,808 ",17.09%, 973 , 95 
fraud analyst,2.81%,95.02%,2.99%," 75,936 "," 85,843 ",13.05%," 1,399 ", 155 
fraud investigator,1.78%,95.65%,3.25%," 72,591 "," 89,751 ",23.64%," 2,070 ", 177 
front,0.21%,100.00%,0.00%," 43,835 "," 40,029 ",-8.68%, 326 , 9 
front agent,0.85%,88.02%,5.90%," 34,677 "," 37,883 ",9.24%, 664 , 9 
front developer,13.31%,94.86%,2.82%," 86,952 "," 110,834 ",27.47%," 3,568 ", 541 
front house,0.56%,97.06%,2.94%," 36,890 "," 47,013 ",27.44%," 1,754 ", 40 
front receptionist,0.53%,94.71%,2.62%," 37,712 "," 41,596 ",10.30%," 1,762 ", 26 
frontend developer,8.68%,97.73%,0.45%," 90,617 "," 113,754 ",25.53%," 3,271 ", 470 
fulfillment,0.86%,98.68%,1.32%," 47,717 "," 39,205 ",-17.84%," 1,258 ", 14 
functional analyst,10.34%,97.27%,1.10%," 107,017 "," 108,154 ",1.06%, 428 , 42 
functional consultant,6.43%,97.30%,1.39%," 116,429 "," 119,086 ",2.28%, 204 , 29 
fund accountant,1.10%,96.43%,0.00%," 84,232 "," 92,579 ",9.91%, 833 , 44 
fund accounting,2.04%,100.00%,50.00%," 106,974 "," 122,332 ",14.36%, 440 , 32 
fund administrator,0.91%,100.00%,0.00%," 75,203 "," 80,155 ",6.59%, 502 , 25 
game,1.00%,97.06%,2.94%," 41,021 "," 38,696 ",-5.67%, 396 , 17 
game designer,6.79%,92.81%,1.79%," 119,416 "," 165,788 ",38.83%," 1,761 ", 358 
geek squad,1.68%,96.23%,1.85%," 53,457 "," 81,906 ",53.22%," 1,030 ", 15 
genius,2.40%,95.90%,6.56%," 65,533 "," 114,799 ",75.18%," 2,379 ", 80 
geologist,2.76%,95.45%,2.26%," 99,446 "," 113,232 ",13.86%, 802 , 31 
geophysicist,6.11%,92.49%,1.60%," 94,931 "," 107,854 ",13.61%, 776 , 33 
geotechnical engineer,4.21%,92.81%,3.18%," 98,119 "," 102,376 ",4.34%," 1,197 ", 36 
gl accountant,4.55%,100.00%,0.00%," 87,471 "," 98,061 ",12.11%," 1,190 ", 40 
gm,0.35%,100.00%,0.00%," 87,839 "," 150,336 ",71.15%, 334 , 10 
government affairs,2.14%,91.37%,3.48%," 134,664 "," 149,862 ",11.29%," 3,673 ", 187 
graphic artist,1.68%,96.67%,1.67%," 76,750 "," 102,808 ",33.95%, 191 , 7 
graphic design,2.83%,91.76%,4.70%," 67,783 "," 77,145 ",13.81%," 1,125 ", 101 
graphic designer,1.53%,94.27%,3.30%," 69,644 "," 76,289 ",9.54%, 605 , 63 
grocery,0.56%,97.83%,0.00%," 42,344 "," 40,890 ",-3.43%, 484 , 2 
guest,0.79%,88.56%,2.94%," 41,754 "," 46,777 ",12.03%, 757 , 9 
guest relations,0.82%,95.35%,4.55%," 38,693 "," 43,884 ",13.42%, 694 , 25 
guest service,0.44%,95.00%,0.00%," 38,447 "," 43,960 ",14.34%," 1,012 ", 17 
guest service agent,0.35%,100.00%,10.00%," 36,568 "," 38,889 ",6.35%, 895 , 27 
guest service representative,0.73%,92.31%,2.90%," 36,954 "," 41,928 ",13.46%," 2,990 ", 52 
guest services,1.08%,95.05%,2.83%," 44,009 "," 46,371 ",5.37%," 1,265 ", 29 
hairstylist,0.24%,97.06%,5.88%," 48,172 "," 52,290 ",8.55%," 3,168 ", 63 
hardware design engineer,5.14%,95.75%,2.52%," 146,354 "," 179,532 ",22.67%," 3,641 ", 484 
hardware engineer,6.61%,95.90%,1.58%," 122,492 "," 140,612 ",14.79%," 3,314 ", 344 
health safety,1.14%,97.92%,0.00%," 93,075 "," 86,664 ",-6.89%," 1,066 ", 25 
healthcare,1.74%,94.59%,2.63%," 83,486 "," 97,900 ",17.27%, 272 , 8 
healthcare representative,1.31%,92.48%,4.17%," 87,650 "," 84,900 ",-3.14%," 4,258 ", 79 
heavy equipment,0.96%,94.83%,2.67%," 57,893 "," 70,716 ",22.15%," 9,766 ", 133 
help,1.78%,93.94%,2.30%," 53,429 "," 50,432 ",-5.61%, 168 , 16 
help analyst,4.37%,95.95%,1.80%," 65,534 "," 81,806 ",24.83%," 6,294 ", 227 
help technician,5.22%,93.02%,1.98%," 56,679 "," 66,529 ",17.38%," 2,138 ", 79 
helpdesk,3.53%,94.29%,0.00%," 56,862 "," 62,630 ",10.14%, 475 , 26 
helpdesk analyst,4.18%,97.00%,0.51%," 78,234 "," 93,004 ",18.88%," 1,321 ", 81 
hospitality,0.79%,96.45%,3.49%," 40,734 "," 31,890 ",-21.71%, 327 , 17 
host,1.86%,89.27%,8.62%," 37,946 "," 28,346 ",-25.30%," 1,868 ", 31 
hostess,1.07%,92.52%,5.69%," 36,667 "," 40,302 ",9.91%," 2,769 ", 70 
hotel,0.96%,97.73%,7.03%," 61,998 "," 67,345 ",8.62%," 1,323 ", 32 
housekeeper,0.25%,93.75%,0.00%," 31,287 "," 32,734 ",4.62%, 893 , 27 
housekeeping,0.73%,92.95%,2.27%," 37,131 "," 39,931 ",7.54%, 955 , 9 
hr,1.48%,95.36%,2.18%," 81,581 "," 91,944 ",12.70%," 1,084 ", 28 
hr admin,1.06%,90.00%,10.00%," 65,001 "," 96,436 ",48.36%, 374 , 24 
hr administrator,0.88%,91.67%,8.33%," 43,386 "," 48,108 ",10.88%," 2,608 ", 74 
hr analyst,8.54%,94.71%,0.58%," 84,138 "," 96,012 ",14.11%, 326 , 19 
hr business,3.83%,93.11%,1.85%," 113,461 "," 129,721 ",14.33%," 4,710 ", 172 
hr consultant,4.41%,96.46%,2.76%," 90,236 "," 115,545 ",28.05%," 1,427 ", 62 
hr coordinator,2.02%,98.32%,0.00%," 52,084 "," 55,926 ",7.38%, 831 , 22 
hr officer,1.90%,100.00%,0.00%," 57,306 "," 93,588 ",63.31%, 767 , 33 
